film_key,letterboxd_uri,title,year,watched,my_letterboxd_rating,watch_dates,review_text
(500) days of summer:2009,https://boxd.it/1EmM,(500) Days of Summer,2009,True,4.5,,
12 angry men:1957,https://boxd.it/2auI,12 Angry Men,1957,True,,,
12 years a slave:2013,https://boxd.it/2D2e,12 Years a Slave,2013,True,4.5,,
1408:2007,https://boxd.it/25Vu,1408,2007,True,,,
1917:2019,https://boxd.it/jj4y,1917,2019,True,3.5,,
2 fast 2 furious:2003,https://boxd.it/2a4g,2 Fast 2 Furious,2003,True,,,
2001: a space odyssey:1968,https://boxd.it/2bf0,2001: A Space Odyssey,1968,True,5.0,,
2012:2009,https://boxd.it/1OE2,2012,2009,True,,,
21:2008,https://boxd.it/20BO,21,2008,True,,,
25th hour:2002,https://boxd.it/28LC,25th Hour,2002,True,4.0,2025-12-13,
28 days later:2002,https://boxd.it/2aXU,28 Days Later,2002,True,2.5,2025-09-06,
3 idiots:2009,https://boxd.it/1Dsa,3 Idiots,2009,True,,,
3 women:1977,https://boxd.it/YPs,3 Women,1977,True,4.5,2026-06-01,
300:2006,https://boxd.it/28XI,300,2006,True,3.5,,
50 first dates:2004,https://boxd.it/285c,50 First Dates,2004,True,2.5,,
50/50:2011,https://boxd.it/10Tw,50/50,2011,True,,,
7 khoon maaf:2011,https://boxd.it/plC,7 Khoon Maaf,2011,True,,,
8 mile:2002,https://boxd.it/2bew,8 Mile,2002,True,,,
8:46:2020,https://boxd.it/qL5e,8:46,2020,True,,,
a beautiful mind:2001,https://boxd.it/2amk,A Beautiful Mind,2001,True,,,
a bronx tale:1993,https://boxd.it/28uQ,A Bronx Tale,1993,True,4.5,,
a clockwork orange:1971,https://boxd.it/2aVE,A Clockwork Orange,1971,True,4.5,,
a few good men:1992,https://boxd.it/29nw,A Few Good Men,1992,True,4.0,,
a ghost story:2017,https://boxd.it/fb0K,A Ghost Story,2017,True,3.5,2026-07-02,
a nightmare on elm street:1984,https://boxd.it/2aw0,A Nightmare on Elm Street,1984,True,,,
a prophet:2009,https://boxd.it/1BGE,A Prophet,2009,True,4.5,2026-05-05,
a separation:2011,https://boxd.it/gvo,A Separation,2011,True,5.0,2026-05-13,
a serious man:2009,https://boxd.it/1RFW,A Serious Man,2009,True,4.5,2026-06-06,
a star is born:2018,https://boxd.it/aXgc,A Star Is Born,2018,True,3.0,,
a time to kill:1996,https://boxd.it/28pc,A Time to Kill,1996,True,,,
a walk to remember:2002,https://boxd.it/1WLq,A Walk to Remember,2002,True,3.0,,
a wednesday!:2008,https://boxd.it/1EFE,A Wednesday!,2008,True,,,
a woman under the influence:1974,https://boxd.it/1myg,A Woman Under the Influence,1974,True,5.0,2025-09-10,"'I remember before, when you were punching me in favor of your mother.' 
It’s raw, unfiltered emotion. The kind that leaves you breathless.

By the end, Mabel remains the same fragile woman she was before the institutionalization. And that’s the tragedy, not the illness, but the inability of people to meet her with compassion. If only people were gentler, more understanding.

This might be the best portrayal of mental illness and the stigma that surrounds it. Top notch performance by Gena Rowlands.

Classic!"
aankhen:2002,https://boxd.it/1BdM,Aankhen,2002,True,,,
adaptation.:2002,https://boxd.it/26mA,Adaptation.,2002,True,4.0,2025-07-01,
adolescence:2025,https://boxd.it/TFGw,Adolescence,2025,True,4.5,,
after hours:1985,https://boxd.it/1VfS,After Hours,1985,True,5.0,,
agora:2009,https://boxd.it/1tVc,Agora,2009,True,3.5,,
agra:2023,https://boxd.it/E4Ee,Agra,2023,True,4.0,2025-12-08,
ajab prem ki ghazab kahani:2009,https://boxd.it/1wUm,Ajab Prem Ki Ghazab Kahani,2009,True,,,
alice doesn't live here anymore:1974,https://boxd.it/1KIa,Alice Doesn't Live Here Anymore,1974,True,4.5,2025-11-13,
alien:1979,https://boxd.it/2awY,Alien,1979,True,4.5,2025-10-02,
alita: battle angel:2019,https://boxd.it/e0rS,Alita: Battle Angel,2019,True,,,
all about eve:1950,https://boxd.it/29LI,All About Eve,1950,True,,,
all about my mother:1999,https://boxd.it/2b9c,All About My Mother,1999,True,4.0,2026-05-17,
all quiet on the western front:2022,https://boxd.it/H08,All Quiet on the Western Front,2022,True,,,
all that jazz:1979,https://boxd.it/1JB8,All That Jazz,1979,True,5.0,2025-10-08,
all the president's men:1976,https://boxd.it/29lU,All the President's Men,1976,True,4.0,2025-09-28,
almost famous:2000,https://boxd.it/29CQ,Almost Famous,2000,True,4.0,2026-04-27,
amadeus:1984,https://boxd.it/2aH8,Amadeus,1984,True,,,
american beauty:1999,https://boxd.it/71Y,American Beauty,1999,True,4.5,,
american gangster:2007,https://boxd.it/23wi,American Gangster,2007,True,4.0,,
