Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-09-11,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/b1YElv,3.5,,"My film shows the sinister connection between consumerism and Nazism. I think that consumerism manipulates and violates bodies neither more nor less than Nazism.

- Pier Paolo Pasolini",,2025-09-10
2025-09-11,A Woman Under the Influence,1974,https://boxd.it/b2ay9R,5,,"'I remember before, when you were punching me in favor of your mother.' 
It’s raw, unfiltered emotion. The kind that leaves you breathless.

By the end, Mabel remains the same fragile woman she was before the institutionalization. And that’s the tragedy, not the illness, but the inability of people to meet her with compassion. If only people were gentler, more understanding.

This might be the best portrayal of mental illness and the stigma that surrounds it. Top notch performance by Gena Rowlands.

Classic!",,2025-09-10
2025-10-02,Antichrist,2009,https://boxd.it/beFhl7,4,,Nature is Satan's church,,2025-10-01
2025-10-21,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/br8OMr,5,,"“It would not be difficult, Mein Führer.”",,2025-10-20
2025-11-06,No Regrets for Our Youth,1946,https://boxd.it/bC44wX,5,,"'My father is a liberal, not a Red'
'My father is in the right, and the right will prevail'

Yeah right!!",,2025-11-05
2025-11-08,Dogville,2003,https://boxd.it/bDamPz,5,,"Empathy might be something you can teach, but let’s be honest, he’s not going to buck the freight industry, is he?",,2025-11-07
2025-11-09,Yi Yi,2000,https://boxd.it/bE8NDZ,5,,Life.zip,,2025-11-08
2025-11-19,Memories of Murder,2003,https://boxd.it/bKZx9p,4.5,,Gotta watch again from murderer's pov,,2025-11-17
2025-12-01,Carnival of Souls,1962,https://boxd.it/bTwaLD,4,,"To me, a church is just a place of business",,2025-11-30
2025-12-01,Repulsion,1965,https://boxd.it/bTwenP,5,,I'll get her some brandy.,,2025-11-30
2025-12-22,Autumn Sonata,1978,https://boxd.it/ca2TId,5,,I HAVE ABANDONED MY CHILD!!!,,2025-12-21
2026-01-05,Sirāt,2025,https://boxd.it/crSi6N,4.5,,How Gaspar Noé would have made Fury Road,,2026-01-04
2026-01-08,Bring Her Back,2025,https://boxd.it/cvIIu3,3,,IT'S CREATINE!,,2026-01-07
2026-02-03,The Seventh Seal,1957,https://boxd.it/cYa515,4.5,,Too optimistic by the end. Gotta watch again.,,2026-02-02
2026-02-06,High and Low,1963,https://boxd.it/d0plaF,5,,PERFECTION!!,,2026-02-05
2026-03-09,The Passion of Joan of Arc,1928,https://boxd.it/drZPm7,4.5,,Perfect film to watch on Women's Day.,,2026-03-08
2026-03-26,Metropolis,1927,https://boxd.it/dGhHI7,4.5,,Might be the most influential film ever!,,2026-03-25
2026-04-14,The Apartment,1960,https://boxd.it/dXYPr3,5,,"A classic! I mean writingwise, actingwise, comedywise.",,2026-04-13
2026-05-13,Dancer in the Dark,2000,https://boxd.it/el4Xr5,5,,Lars you fuckin bastard. I love you!,,2026-05-12
2026-05-22,Mandy,2018,https://boxd.it/esdnLf,3,,Apart from good visuals its quite predictive and mediocre. Might watch under the influence someday.,,2026-05-21
2026-07-12,"Good Luck, Have Fun, Don't Die",2025,https://boxd.it/fbNSnl,1.5,,"Very difficult to watch even as a crowd pleaser. Gets its message across at the end after a ton of unnecessary chaotic buildup, so much so that the small reward is ruined. The pacing is certainly off, and the character flashbacks are out of place. Feels like an autistic child of EEAAO and Black Mirror that should have been aborted. A total waste of time.

",,2026-07-11
2026-08-03,Husbands,1970,https://boxd.it/fBBX7n,4.5,,The plot isn’t the essential part of a film when the characters and emotions are strong enough.,,2026-08-02
2026-08-04,The Train,1964,https://boxd.it/fCWaKr,4.5,,"Beautiful cinematography. 
Could be perfect if not for English.",,2026-08-03
2026-08-20,Aparajito,1956,https://boxd.it/fVjv8B,4.5,,Emotional Damage,,2026-08-19
2026-08-21,Apur Sansar,1959,https://boxd.it/fWh1Rh,5,,"How do you make sense of the hardships life puts you through, let alone find a way to thrive and enjoy it?  
This trilogy is an optimistic tale, exactly the kind Apu describes the protagonist of his novel to be. His smile at the end is a priceless and satisfying conclusion to his saga.",,2026-08-20
2026-08-23,Green Book,2018,https://boxd.it/fYjogv,2,,"So we achieve world peace now. What were they thinking? Who is this even made for, the award jury? 

Can't even stand the glasses used by blacks, and he's okay with one of them being his boss? Funniest shit was when the family at the end makes room for the doc moments after calling him names. 

Takes up a complicated issue and does nothing with it. Wonder if this is elite liberals' idea of solving racism.",,2026-08-22
